Date	Start	n0	BoxScore	n1	Opponent	Result	n2	TeamScore	OppScore	W	L	Streak	Notes
Wed, Dec 12, 2018	7:00p		Box Score		Brooklyn Nets	L		124	127	19	10	L 1	
Fri, Dec 14, 2018	7:30p		Box Score		Indiana Pacers	L		101	113	19	11	L 2	
Sun, Dec 16, 2018	3:30p		Box Score	@	Cleveland Cavaliers	W		128	105	20	11	W 1	
Mon, Dec 17, 2018	8:30p		Box Score	@	San Antonio Spurs	L		96	123	20	12	L 1	
Wed, Dec 19, 2018	7:00p		Box Score		New York Knicks	W		131	109	21	12	W 1	
Sat, Dec 22, 2018	7:30p		Box Score		Toronto Raptors	W		126	101	22	12	W 2	
Tue, Dec 25, 2018	5:30p		Box Score	@	Boston Celtics	L	OT	114	121	22	13	L 1	
Thu, Dec 27, 2018	10:30p		Box Score	@	Utah Jazz	W		114	97	23	13	W 1	
Sun, Dec 30, 2018	9:00p		Box Score	@	Portland Trail Blazers	L		95	129	23	14	L 1	
Tue, Jan 1, 2019	10:30p		Box Score	@	Los Angeles Clippers	W		119	113	24	14	W 1	
Wed, Jan 2, 2019	9:00p		Box Score	@	Phoenix Suns	W		132	127	25	14	W 2	
Sat, Jan 5, 2019	7:30p		Box Score		Dallas Mavericks	W		106	100	26	14	W 3	
													
Tue, Jan 8, 2019	7:00p		Box Score		Washington Wizards	W		132	115	27	14	W 4	
Wed, Jan 9, 2019	7:00p		Box Score	@	Washington Wizards	L		106	123	27	15	L 1	
Fri, Jan 11, 2019	7:00p		Box Score		Atlanta Hawks	L		121	123	27	16	L 2	
Sun, Jan 13, 2019	1:00p		Box Score	@	New York Knicks	W		108	105	28	16	W 1	
Tue, Jan 15, 2019	7:00p		Box Score		Minnesota Timberwolves	W		149	107	29	16	W 2	
Thu, Jan 17, 2019	7:00p		Box Score	@	Indiana Pacers	W		120	96	30	16	W 3	
Sat, Jan 19, 2019	3:30p		Box Score		Oklahoma City Thunder	L		115	117	30	17	L 1	
Mon, Jan 21, 2019	8:00p		Box Score		Houston Rockets	W		121	93	31	17	W 1	
Wed, Jan 23, 2019	8:00p		Box Score		San Antonio Spurs	W		122	120	32	17	W 2	
Sat, Jan 26, 2019	9:00p		Box Score	@	Denver Nuggets	L		110	126	32	18	L 1	
Tue, Jan 29, 2019	10:30p		Box Score	@	Los Angeles Lakers	W		121	105	33	18	W 1	
Thu, Jan 31, 2019	10:30p		Box Score	@	Golden State Warriors	W		113	104	34	18	W 2	
Sat, Feb 2, 2019	10:00p		Box Score	@	Sacramento Kings	L		108	115	34	19	L 1	
Tue, Feb 5, 2019	8:00p		Box Score		Toronto Raptors	L		107	119	34	20	L 2	
Fri, Feb 8, 2019	7:00p		Box Score		Denver Nuggets	W		117	110	35	20	W 1	
Sun, Feb 10, 2019	3:30p		Box Score		Los Angeles Lakers	W		143	120	36	20	W 2	
Tue, Feb 12, 2019	8:00p		Box Score		Boston Celtics	L		109	112	36	21	L 1	
Wed, Feb 13, 2019	7:30p		Box Score	@	New York Knicks	W		126	111	37	21	W 1	
Thu, Feb 21, 2019	7:00p		Box Score		Miami Heat	W		106	102	38	21	W 2	
Sat, Feb 23, 2019	1:00p		Box Score		Portland Trail Blazers	L		115	130	38	22	L 1	
													
Mon, Feb 25, 2019	8:00p		Box Score	@	New Orleans Pelicans	W		111	110	39	22	W 1	
Thu, Feb 28, 2019	8:00p		Box Score	@	Oklahoma City Thunder	W		108	104	40	22	W 2	
Sat, Mar 2, 2019	8:30p		Box Score		Golden State Warriors	L		117	120	40	23	L 1	
Tue, Mar 5, 2019	7:00p		Box Score		Orlando Magic	W		114	106	41	23	W 1	
Wed, Mar 6, 2019	8:00p		Box Score	@	Chicago Bulls	L		107	108	41	24	L 1	
Fri, Mar 8, 2019	8:00p		Box Score	@	Houston Rockets	L		91	107	41	25	L 2	
Sun, Mar 10, 2019	3:30p		Box Score		Indiana Pacers	W		106	89	42	25	W 1	
Tue, Mar 12, 2019	7:00p		Box Score		Cleveland Cavaliers	W		106	99	43	25	W 2	
Fri, Mar 15, 2019	7:00p		Box Score		Sacramento Kings	W		123	114	44	25	W 3	
Sun, Mar 17, 2019	3:30p		Box Score	@	Milwaukee Bucks	W		130	125	45	25	W 4	
Tue, Mar 19, 2019	7:00p		Box Score	@	Charlotte Hornets	W		118	114	46	25	W 5	
Wed, Mar 20, 2019	7:00p		Box Score		Boston Celtics	W		118	115	47	25	W 6	
Sat, Mar 23, 2019	7:30p		Box Score	@	Atlanta Hawks	L		127	129	47	26	L 1	
Mon, Mar 25, 2019	7:00p		Box Score	@	Orlando Magic	L		98	119	47	27	L 2	
Thu, Mar 28, 2019	7:00p		Box Score		Brooklyn Nets	W		123	110	48	27	W 1	
Sat, Mar 30, 2019	8:00p		Box Score	@	Minnesota Timberwolves	W		118	109	49	27	W 2	
Mon, Apr 1, 2019	8:30p		Box Score	@	Dallas Mavericks	L		102	122	49	28	L 1	
Wed, Apr 3, 2019	7:30p		Box Score	@	Atlanta Hawks	L		122	130	49	29	L 2	
Thu, Apr 4, 2019	8:00p		Box Score		Milwaukee Bucks	L		122	128	49	30	L 3	
Sat, Apr 6, 2019	8:00p		Box Score	@	Chicago Bulls	W		116	96	50	30	W 1	
													
Tue, Apr 9, 2019	7:30p		Box Score	@	Miami Heat	L		99	122	50	31	L 1	
Wed, Apr 10, 2019	8:00p		Box Score		Chicago Bulls	W		125	109	51	31	W 1	
													
Sat, Apr 13, 2019	2:30p		Box Score		Brooklyn Nets	L		102	111	0	1	L 1	
Mon, Apr 15, 2019	8:00p		Box Score		Brooklyn Nets	W		145	123	1	1	W 1	
Thu, Apr 18, 2019	8:00p		Box Score	@	Brooklyn Nets	W		131	115	2	1	W 2	
Sat, Apr 20, 2019	3:00p		Box Score	@	Brooklyn Nets	W		112	108	3	1	W 3	
Tue, Apr 23, 2019	8:00p		Box Score		Brooklyn Nets	W		122	100	4	1	W 4	
													
Sat, Apr 27, 2019	7:30p		Box Score	@	Toronto Raptors	L		95	108	4	2	L 1	
Mon, Apr 29, 2019	8:00p		Box Score	@	Toronto Raptors	W		94	89	5	2	W 1	
Thu, May 2, 2019	8:00p		Box Score		Toronto Raptors	W		116	95	6	2	W 2	
Sun, May 5, 2019	3:30p		Box Score		Toronto Raptors	L		96	101	6	3	L 1	
Tue, May 7, 2019	8:00p		Box Score	@	Toronto Raptors	L		89	125	6	4	L 2	
Thu, May 9, 2019	8:00p		Box Score		Toronto Raptors	W		112	101	7	4	W 1	
Sun, May 12, 2019	7:00p		Box Score	@	Toronto Raptors	L		90	92	7	5	L 1	
