Date	Start	n0	BoxScore	n1	Opponent	Result	n2	TeamScore	OppScore	W	L	Streak	Notes
Wed, Jan 2, 2019	8:00p		Box Score	@	Memphis Grizzlies	W		101	94	17	19	W 1	
Sat, Jan 5, 2019	7:00p		Box Score		Utah Jazz	L		105	110	17	20	L 1	
Mon, Jan 7, 2019	7:00p		Box Score		San Antonio Spurs	L		107	119	17	21	L 2	
Wed, Jan 9, 2019	10:30p		Box Score	@	Los Angeles Lakers	L		100	113	17	22	L 3	
Thu, Jan 10, 2019	10:00p		Box Score	@	Sacramento Kings	L		102	112	17	23	L 4	
													
Sat, Jan 12, 2019	3:30p		Box Score	@	Los Angeles Clippers	W		109	104	18	23	W 1	
Mon, Jan 14, 2019	9:00p		Box Score	@	Utah Jazz	L		94	100	18	24	L 1	
Wed, Jan 16, 2019	7:00p		Box Score		Orlando Magic	W	OT	120	115	19	24	W 1	
Fri, Jan 18, 2019	7:00p		Box Score		Miami Heat	W		98	93	20	24	W 2	
Sat, Jan 19, 2019	7:00p		Box Score		Sacramento Kings	L		101	103	20	25	L 1	
Mon, Jan 21, 2019	2:00p		Box Score	@	Washington Wizards	L		87	101	20	26	L 2	
Wed, Jan 23, 2019	8:00p		Box Score	@	New Orleans Pelicans	W		98	94	21	26	W 1	
Fri, Jan 25, 2019	8:30p		Box Score	@	Dallas Mavericks	L		101	106	21	27	L 1	
Tue, Jan 29, 2019	7:00p		Box Score		Milwaukee Bucks	L		105	115	21	28	L 2	
Thu, Jan 31, 2019	7:00p		Box Score		Dallas Mavericks	W		93	89	22	28	W 1	
Sat, Feb 2, 2019	5:00p		Box Score		Los Angeles Clippers	L		101	111	22	29	L 1	
Mon, Feb 4, 2019	7:00p		Box Score		Denver Nuggets	W		129	103	23	29	W 1	
Tue, Feb 5, 2019	7:30p		Box Score	@	New York Knicks	W		105	92	24	29	W 2	
Fri, Feb 8, 2019	7:00p		Box Score		New York Knicks	W		120	103	25	29	W 3	
Mon, Feb 11, 2019	7:00p		Box Score		Washington Wizards	W		121	112	26	29	W 4	
Wed, Feb 13, 2019	7:30p		Box Score	@	Boston Celtics	L		110	118	26	30	L 1	
Fri, Feb 22, 2019	7:30p		Box Score	@	Atlanta Hawks	W		125	122	27	30	W 1	
Sat, Feb 23, 2019	7:30p		Box Score	@	Miami Heat	W		119	96	28	30	W 2	
Mon, Feb 25, 2019	7:00p		Box Score		Indiana Pacers	W		113	109	29	30	W 3	
Wed, Feb 27, 2019	8:30p		Box Score	@	San Antonio Spurs	L		93	105	29	31	L 1	
													
Sat, Mar 2, 2019	5:00p		Box Score	@	Cleveland Cavaliers	W		129	93	30	31	W 1	
Sun, Mar 3, 2019	6:00p		Box Score		Toronto Raptors	W	OT	112	107	31	31	W 2	
Wed, Mar 6, 2019	7:00p		Box Score		Minnesota Timberwolves	W		131	114	32	31	W 3	
Fri, Mar 8, 2019	8:00p		Box Score	@	Chicago Bulls	W		112	104	33	31	W 4	
Sun, Mar 10, 2019	12:00p		Box Score		Chicago Bulls	W		131	108	34	31	W 5	
Mon, Mar 11, 2019	7:30p		Box Score	@	Brooklyn Nets	L		75	103	34	32	L 1	
Wed, Mar 13, 2019	7:30p		Box Score	@	Miami Heat	L		74	108	34	33	L 2	
Fri, Mar 15, 2019	7:00p		Box Score		Los Angeles Lakers	W		111	97	35	33	W 1	
Sun, Mar 17, 2019	4:00p		Box Score		Toronto Raptors	W		110	107	36	33	W 2	
Mon, Mar 18, 2019	7:00p		Box Score	@	Cleveland Cavaliers	L		119	126	36	34	L 1	
Thu, Mar 21, 2019	10:00p		Box Score	@	Phoenix Suns	W		118	98	37	34	W 1	
Sat, Mar 23, 2019	10:00p		Box Score	@	Portland Trail Blazers	L		112	117	37	35	L 1	
Sun, Mar 24, 2019	8:30p		Box Score	@	Golden State Warriors	L		114	121	37	36	L 2	
Tue, Mar 26, 2019	9:00p		Box Score	@	Denver Nuggets	L		92	95	37	37	L 3	
Thu, Mar 28, 2019	7:00p		Box Score		Orlando Magic	W		115	98	38	37	W 1	
Sat, Mar 30, 2019	7:00p		Box Score		Portland Trail Blazers	W		99	90	39	37	W 2	
Mon, Apr 1, 2019	7:00p		Box Score	@	Indiana Pacers	L		102	111	39	38	L 1	
Wed, Apr 3, 2019	7:00p		Box Score		Indiana Pacers	L		89	108	39	39	L 2	
Fri, Apr 5, 2019	8:00p		Box Score	@	Oklahoma City Thunder	L		110	123	39	40	L 3	
Sun, Apr 7, 2019	4:00p		Box Score		Charlotte Hornets	L		91	104	39	41	L 4	
													
Tue, Apr 9, 2019	7:00p		Box Score		Memphis Grizzlies	W		100	93	40	41	W 1	
Wed, Apr 10, 2019	8:00p		Box Score	@	New York Knicks	W		115	89	41	41	W 2	
													
Sun, Apr 14, 2019	7:00p		Box Score	@	Milwaukee Bucks	L		86	121	0	1	L 1	
Wed, Apr 17, 2019	8:00p		Box Score	@	Milwaukee Bucks	L		99	120	0	2	L 2	
Sat, Apr 20, 2019	8:00p		Box Score		Milwaukee Bucks	L		103	119	0	3	L 3	
Mon, Apr 22, 2019	8:00p		Box Score		Milwaukee Bucks	L		104	127	0	4	L 4	
