Date	Start	n0	BoxScore	n1	Opponent	Result	n2	TeamScore	OppScore	W	L	Streak	Notes
Sat, Mar 2, 2019	7:00p		Box Score		Orlando Magic	L		112	117	41	23	L 1	
Tue, Mar 5, 2019	7:00p		Box Score		Chicago Bulls	W		105	96	42	23	W 1	
Thu, Mar 7, 2019	8:00p		Box Score	@	Milwaukee Bucks	L		98	117	42	24	L 1	
Sun, Mar 10, 2019	3:30p		Box Score	@	Philadelphia 76ers	L		89	106	42	25	L 2	
Tue, Mar 12, 2019	7:00p		Box Score		New York Knicks	W		103	98	43	25	W 1	
Thu, Mar 14, 2019	7:00p		Box Score		Oklahoma City Thunder	W		108	106	44	25	W 2	
Sat, Mar 16, 2019	9:00p		Box Score	@	Denver Nuggets	L		100	102	44	26	L 1	
Mon, Mar 18, 2019	10:30p		Box Score	@	Portland Trail Blazers	L		98	106	44	27	L 2	
Tue, Mar 19, 2019	10:30p		Box Score	@	Los Angeles Clippers	L		109	115	44	28	L 3	
Thu, Mar 21, 2019	10:30p		Box Score	@	Golden State Warriors	L		89	112	44	29	L 4	
Sun, Mar 24, 2019	5:00p		Box Score		Denver Nuggets	W		124	88	45	29	W 1	
Wed, Mar 27, 2019	8:00p		Box Score	@	Oklahoma City Thunder	L		99	107	45	30	L 1	
Fri, Mar 29, 2019	7:00p		Box Score	@	Boston Celtics	L		112	114	45	31	L 2	
Sat, Mar 30, 2019	7:00p		Box Score		Orlando Magic	L		116	121	45	32	L 3	
Mon, Apr 1, 2019	7:00p		Box Score		Detroit Pistons	W		111	102	46	32	W 1	
Wed, Apr 3, 2019	7:00p		Box Score	@	Detroit Pistons	W		108	89	47	32	W 2	
Fri, Apr 5, 2019	8:00p		Box Score		Boston Celtics	L		97	117	47	33	L 1	
													
Sun, Apr 7, 2019	5:00p		Box Score		Brooklyn Nets	L		96	108	47	34	L 2	
Wed, Apr 10, 2019	8:00p		Box Score	@	Atlanta Hawks	W		135	134	48	34	W 1	
													
Sun, Apr 14, 2019	1:00p		Box Score	@	Boston Celtics	L		74	84	0	1	L 1	
Wed, Apr 17, 2019	7:00p		Box Score	@	Boston Celtics	L		91	99	0	2	L 2	
Fri, Apr 19, 2019	8:30p		Box Score		Boston Celtics	L		96	104	0	3	L 3	
Sun, Apr 21, 2019	1:00p		Box Score		Boston Celtics	L		106	110	0	4	L 4	
