Date	Start	n0	BoxScore	n1	Opponent	Result	n2	TeamScore	OppScore	W	L	Streak	Notes
Tue, Apr 16, 2019	8:00p		Box Score		Orlando Magic	W		111	82	1	1	W 1	
Fri, Apr 19, 2019	7:00p		Box Score	@	Orlando Magic	W		98	93	2	1	W 2	
Sun, Apr 21, 2019	7:00p		Box Score	@	Orlando Magic	W		107	85	3	1	W 3	
Tue, Apr 23, 2019	7:00p		Box Score		Orlando Magic	W		115	96	4	1	W 4	
													
Sat, Apr 27, 2019	7:30p		Box Score		Philadelphia 76ers	W		108	95	5	1	W 5	
Mon, Apr 29, 2019	8:00p		Box Score		Philadelphia 76ers	L		89	94	5	2	L 1	
Thu, May 2, 2019	8:00p		Box Score	@	Philadelphia 76ers	L		95	116	5	3	L 2	
Sun, May 5, 2019	3:30p		Box Score	@	Philadelphia 76ers	W		101	96	6	3	W 1	
Tue, May 7, 2019	8:00p		Box Score		Philadelphia 76ers	W		125	89	7	3	W 2	
Thu, May 9, 2019	8:00p		Box Score	@	Philadelphia 76ers	L		101	112	7	4	L 1	
Sun, May 12, 2019	7:00p		Box Score		Philadelphia 76ers	W		92	90	8	4	W 1	
													
Wed, May 15, 2019	8:30p		Box Score	@	Milwaukee Bucks	L		100	108	8	5	L 1	
Fri, May 17, 2019	8:30p		Box Score	@	Milwaukee Bucks	L		103	125	8	6	L 2	
Sun, May 19, 2019	7:00p		Box Score		Milwaukee Bucks	W	2OT	118	112	9	6	W 1	
Tue, May 21, 2019	8:30p		Box Score		Milwaukee Bucks	W		120	102	10	6	W 2	
Thu, May 23, 2019	8:30p		Box Score	@	Milwaukee Bucks	W		105	99	11	6	W 3	
Sat, May 25, 2019	8:30p		Box Score		Milwaukee Bucks	W		100	94	12	6	W 4	
													
Thu, May 30, 2019	9:00p		Box Score		Golden State Warriors	W		118	109	13	6	W 5	
Sun, Jun 2, 2019	8:00p		Box Score		Golden State Warriors	L		104	109	13	7	L 1	
Wed, Jun 5, 2019	9:00p		Box Score	@	Golden State Warriors	W		123	109	14	7	W 1	
Fri, Jun 7, 2019	9:00p		Box Score	@	Golden State Warriors	W		105	92	15	7	W 2	
Mon, Jun 10, 2019	9:00p		Box Score		Golden State Warriors	L		105	106	15	8	L 1	
Thu, Jun 13, 2019	9:00p		Box Score	@	Golden State Warriors	W		114	110	16	8	W 1	
