Date	Start	n0	BoxScore	n1	Opponent	Result	n2	TeamScore	OppScore	W	L	Streak	Notes
Tue, Feb 26, 2019	10:30p		Box Score		Oklahoma City Thunder	W		121	112	42	18	W 5	
													
Thu, Feb 28, 2019	10:30p		Box Score		Utah Jazz	L		104	111	42	19	L 1	
Sat, Mar 2, 2019	9:00p		Box Score		New Orleans Pelicans	L		112	120	42	20	L 2	
Mon, Mar 4, 2019	8:30p		Box Score	@	San Antonio Spurs	L		103	104	42	21	L 3	
Wed, Mar 6, 2019	10:30p		Box Score	@	Los Angeles Lakers	W		115	99	43	21	W 1	
Fri, Mar 8, 2019	10:30p		Box Score	@	Golden State Warriors	L		105	122	43	22	L 1	
Tue, Mar 12, 2019	10:30p		Box Score		Minnesota Timberwolves	W		133	107	44	22	W 1	
Thu, Mar 14, 2019	10:30p		Box Score		Dallas Mavericks	W		100	99	45	22	W 2	
Sat, Mar 16, 2019	9:00p		Box Score		Indiana Pacers	W		102	100	46	22	W 3	
Mon, Mar 18, 2019	7:30p		Box Score	@	Boston Celtics	W		114	105	47	22	W 4	
Thu, Mar 21, 2019	7:00p		Box Score	@	Washington Wizards	W		113	108	48	22	W 5	
Fri, Mar 22, 2019	7:30p		Box Score	@	New York Knicks	W		111	93	49	22	W 6	
Sun, Mar 24, 2019	5:00p		Box Score	@	Indiana Pacers	L		88	124	49	23	L 1	
Tue, Mar 26, 2019	9:00p		Box Score		Detroit Pistons	W		95	92	50	23	W 1	
Thu, Mar 28, 2019	8:00p		Box Score	@	Houston Rockets	L		85	112	50	24	L 1	
Fri, Mar 29, 2019	8:00p		Box Score	@	Oklahoma City Thunder	W		115	105	51	24	W 1	
Sun, Mar 31, 2019	8:00p		Box Score		Washington Wizards	L		90	95	51	25	L 1	
Tue, Apr 2, 2019	10:30p		Box Score	@	Golden State Warriors	L		102	116	51	26	L 2	
Wed, Apr 3, 2019	9:00p		Box Score		San Antonio Spurs	W		113	85	52	26	W 1	
Fri, Apr 5, 2019	10:30p		Box Score		Portland Trail Blazers	W		119	110	53	26	W 2	
Sun, Apr 7, 2019	9:00p		Box Score	@	Portland Trail Blazers	L		108	115	53	27	L 1	
													
Tue, Apr 9, 2019	9:00p		Box Score	@	Utah Jazz	L		108	118	53	28	L 2	
Wed, Apr 10, 2019	10:30p		Box Score		Minnesota Timberwolves	W		99	95	54	28	W 1	
													
Sat, Apr 13, 2019	10:30p		Box Score		San Antonio Spurs	L		96	101	0	1	L 1	
Tue, Apr 16, 2019	9:00p		Box Score		San Antonio Spurs	W		114	105	1	1	W 1	
Thu, Apr 18, 2019	9:00p		Box Score	@	San Antonio Spurs	L		108	118	1	2	L 1	
Sat, Apr 20, 2019	5:30p		Box Score	@	San Antonio Spurs	W		117	103	2	2	W 1	
Tue, Apr 23, 2019	9:30p		Box Score		San Antonio Spurs	W		108	90	3	2	W 2	
Thu, Apr 25, 2019	8:00p		Box Score	@	San Antonio Spurs	L		103	120	3	3	L 1	
Sat, Apr 27, 2019	10:00p		Box Score		San Antonio Spurs	W		90	86	4	3	W 1	
													
Mon, Apr 29, 2019	10:30p		Box Score		Portland Trail Blazers	W		121	113	5	3	W 2	
Wed, May 1, 2019	9:00p		Box Score		Portland Trail Blazers	L		90	97	5	4	L 1	
Fri, May 3, 2019	10:30p		Box Score	@	Portland Trail Blazers	L	4OT	137	140	5	5	L 2	
Sun, May 5, 2019	7:00p		Box Score	@	Portland Trail Blazers	W		116	112	6	5	W 1	
Tue, May 7, 2019	10:30p		Box Score		Portland Trail Blazers	W		124	98	7	5	W 2	
Thu, May 9, 2019	10:30p		Box Score	@	Portland Trail Blazers	L		108	119	7	6	L 1	
Sun, May 12, 2019	3:30p		Box Score		Portland Trail Blazers	L		96	100	7	7	L 2	
