Date	Start	n0	BoxScore	n1	Opponent	Result	n2	TeamScore	OppScore	W	L	Streak	Notes
Wed, Mar 6, 2019	7:00p		Box Score	@	Charlotte Hornets	W		91	84	30	34	W 3	
Fri, Mar 8, 2019	8:00p		Box Score		Cleveland Cavaliers	W		126	110	31	34	W 4	
Sun, Mar 10, 2019	3:30p		Box Score		Toronto Raptors	L		104	125	31	35	L 1	
Wed, Mar 13, 2019	7:30p		Box Score		Detroit Pistons	W		108	74	32	35	W 1	
Fri, Mar 15, 2019	8:00p		Box Score		Milwaukee Bucks	L		98	113	32	36	L 1	
Sun, Mar 17, 2019	1:00p		Box Score		Charlotte Hornets	W		93	75	33	36	W 1	
Mon, Mar 18, 2019	8:00p		Box Score	@	Oklahoma City Thunder	W		116	107	34	36	W 2	
Wed, Mar 20, 2019	8:30p		Box Score	@	San Antonio Spurs	W		110	105	35	36	W 3	
Fri, Mar 22, 2019	8:30p		Box Score	@	Milwaukee Bucks	L		87	116	35	37	L 1	
Sat, Mar 23, 2019	7:00p		Box Score	@	Washington Wizards	W		113	108	36	37	W 1	
Tue, Mar 26, 2019	7:30p		Box Score		Orlando Magic	L		99	104	36	38	L 1	
Thu, Mar 28, 2019	7:30p		Box Score		Dallas Mavericks	W		105	99	37	38	W 1	
Sat, Mar 30, 2019	7:30p		Box Score	@	New York Knicks	W		100	92	38	38	W 2	
Mon, Apr 1, 2019	7:30p		Box Score	@	Boston Celtics	L		105	110	38	39	L 1	
Wed, Apr 3, 2019	7:30p		Box Score		Boston Celtics	L		102	112	38	40	L 2	
Fri, Apr 5, 2019	8:00p		Box Score	@	Minnesota Timberwolves	L		109	111	38	41	L 3	
Sun, Apr 7, 2019	12:00p		Box Score	@	Toronto Raptors	L	OT	109	117	38	42	L 4	
													
Tue, Apr 9, 2019	7:30p		Box Score		Philadelphia 76ers	W		122	99	39	42	W 1	
Wed, Apr 10, 2019	8:00p		Box Score	@	Brooklyn Nets	L		94	113	39	43	L 1	
