top	54	left	465	Nov 3	2012	MIA vs DEN	3rd Qtr	7:01 remaining	Missed 3-pointer from 23 ft	MIA leads 78-73
top	192	left	380	Nov 3	2012	MIA vs DEN	3rd Qtr	5:29 remaining	Made 2-pointer from 20 ft	MIA now leads 82-77
top	61	left	244	Nov 3	2012	MIA vs DEN	3rd Qtr	3:46 remaining	Missed 2-pointer from 1 ft	MIA leads 85-79
top	128	left	424	Nov 3	2012	MIA vs DEN	3rd Qtr	3:10 remaining	Missed 2-pointer from 20 ft	MIA leads 85-81
top	203	left	320	Nov 3	2012	MIA vs DEN	3rd Qtr	1:59 remaining	Missed 2-pointer from 17 ft	MIA leads 85-84
top	83	left	260	Nov 3	2012	MIA vs DEN	4th Qtr	5:41 remaining	Made 2-pointer from 4 ft	MIA now tied 103-103
top	67	left	229	Nov 3	2012	MIA vs DEN	4th Qtr	1:42 remaining	Made 2-pointer from 2 ft	MIA now leads 113-112
top	192	left	164	Nov 3	2012	MIA vs DEN	4th Qtr	0:32.8 remaining	Missed 2-pointer from 16 ft	MIA leads 115-114
top	56	left	258	Nov 5	2012	MIA vs PHO	1st Qtr	8:54 remaining	Missed 2-pointer from 2 ft	MIA leads 10-2
top	57	left	227	Nov 5	2012	MIA vs PHO	1st Qtr	5:24 remaining	Made 2-pointer from 1 ft	MIA now leads 17-11
top	62	left	221	Nov 5	2012	MIA vs PHO	1st Qtr	3:14 remaining	Made 2-pointer from 2 ft	MIA now leads 26-14
top	61	left	230	Nov 5	2012	MIA vs PHO	1st Qtr	2:11 remaining	Made 2-pointer from 1 ft	MIA now leads 30-16
top	62	left	225	Nov 5	2012	MIA vs PHO	2nd Qtr	7:12 remaining	Made 2-pointer from 2 ft	MIA now leads 49-35
top	117	left	229	Nov 5	2012	MIA vs PHO	2nd Qtr	5:00 remaining	Made 2-pointer from 7 ft	MIA now leads 53-37
top	174	left	261	Nov 5	2012	MIA vs PHO	2nd Qtr	4:49 remaining	Missed 2-pointer from 13 ft	MIA leads 53-37
top	162	left	137	Nov 5	2012	MIA vs PHO	2nd Qtr	3:12 remaining	Missed 2-pointer from 15 ft	MIA leads 56-43
top	192	left	71	Nov 5	2012	MIA vs PHO	3rd Qtr	9:50 remaining	Missed 2-pointer from 22 ft	MIA leads 67-57
top	57	left	244	Nov 5	2012	MIA vs PHO	3rd Qtr	8:01 remaining	Made 2-pointer from 1 ft	MIA now leads 74-61
top	105	left	129	Nov 5	2012	MIA vs PHO	3rd Qtr	7:03 remaining	Missed 2-pointer from 12 ft	MIA leads 74-63
top	289	left	309	Nov 5	2012	MIA vs PHO	3rd Qtr	6:06 remaining	Made 3-pointer from 25 ft	MIA now leads 78-65
top	51	left	249	Nov 5	2012	MIA vs PHO	3rd Qtr	5:19 remaining	Made 2-pointer from 1 ft	MIA now leads 83-65
top	64	left	235	Nov 5	2012	MIA vs PHO	3rd Qtr	4:14 remaining	Made 2-pointer from 1 ft	MIA now leads 88-65
top	228	left	172	Nov 5	2012	MIA vs PHO	3rd Qtr	3:45 remaining	Missed 2-pointer from 19 ft	MIA leads 88-67
top	57	left	471	Nov 5	2012	MIA vs PHO	3rd Qtr	1:28 remaining	Made 3-pointer from 23 ft	MIA now leads 96-71
top	242	left	57	Nov 5	2012	MIA vs PHO	3rd Qtr	0:37 remaining	Missed 3-pointer from 27 ft	MIA leads 98-71
top	59	left	236	Nov 7	2012	MIA vs BRK	1st Qtr	11:21 remaining	Made 2-pointer from 1 ft	MIA now leads 2-0
top	61	left	232	Nov 7	2012	MIA vs BRK	1st Qtr	8:25 remaining	Made 2-pointer from 1 ft	MIA now leads 10-7
top	59	left	470	Nov 7	2012	MIA vs BRK	1st Qtr	7:06 remaining	Made 3-pointer from 23 ft	MIA now leads 13-11
top	58	left	261	Nov 7	2012	MIA vs BRK	1st Qtr	5:34 remaining	Missed 2-pointer from 2 ft	MIA trails 13-14
top	174	left	17	Nov 7	2012	MIA vs BRK	1st Qtr	2:54 remaining	Missed 3-pointer from 26 ft	MIA leads 19-18
top	59	left	238	Nov 7	2012	MIA vs BRK	1st Qtr	1:31 remaining	Made 2-pointer from 1 ft	MIA now leads 24-20
top	162	left	283	Nov 7	2012	MIA vs BRK	2nd Qtr	1:49 remaining	Missed 2-pointer from 12 ft	MIA leads 46-37
top	124	left	137	Nov 7	2012	MIA vs BRK	2nd Qtr	0:0.4 remaining	Made 2-pointer from 13 ft	MIA now leads 50-41
top	62	left	244	Nov 7	2012	MIA vs BRK	3rd Qtr	5:01 remaining	Missed 2-pointer from 1 ft	MIA leads 67-52
top	62	left	242	Nov 7	2012	MIA vs BRK	3rd Qtr	4:59 remaining	Made 2-pointer from 1 ft	MIA now leads 69-52
top	51	left	82	Nov 7	2012	MIA vs BRK	3rd Qtr	2:17 remaining	Missed 2-pointer from 16 ft	MIA leads 72-54
top	158	left	17	Nov 7	2012	MIA vs BRK	3rd Qtr	0:5.6 remaining	Made 3-pointer from 25 ft	MIA now leads 79-56
top	59	left	240	Nov 9	2012	MIA at ATL	1st Qtr	11:28 remaining	Made 2-pointer from 1 ft	MIA now leads 2-0
top	263	left	274	Nov 9	2012	MIA at ATL	1st Qtr	8:24 remaining	Made 2-pointer from 22 ft	MIA now trails 6-11
top	53	left	246	Nov 9	2012	MIA at ATL	1st Qtr	8:05 remaining	Made 2-pointer from 1 ft	MIA now trails 8-11
top	54	left	260	Nov 9	2012	MIA at ATL	1st Qtr	7:40 remaining	Made 2-pointer from 2 ft	MIA now trails 10-11
top	351	left	242	Nov 9	2012	MIA at ATL	1st Qtr	6:47 remaining	Missed 3-pointer from 30 ft	MIA trails 10-13
top	53	left	253	Nov 9	2012	MIA at ATL	1st Qtr	4:44 remaining	Missed 2-pointer from 1 ft	MIA leads 14-13
top	95	left	345	Nov 9	2012	MIA at ATL	1st Qtr	3:16 remaining	Missed 2-pointer from 11 ft	MIA leads 19-13
top	95	left	153	Nov 9	2012	MIA at ATL	2nd Qtr	4:53 remaining	Made 2-pointer from 10 ft	MIA now tied 36-36
top	110	left	429	Nov 9	2012	MIA at ATL	2nd Qtr	4:19 remaining	Made 2-pointer from 20 ft	MIA now leads 38-36
top	70	left	425	Nov 9	2012	MIA at ATL	2nd Qtr	3:28 remaining	Missed 2-pointer from 19 ft	MIA tied 38-38
top	62	left	269	Nov 9	2012	MIA at ATL	3rd Qtr	10:29 remaining	Made 2-pointer from 3 ft	MIA now trails 46-48
top	53	left	247	Nov 9	2012	MIA at ATL	3rd Qtr	8:57 remaining	Made 2-pointer from 1 ft	MIA now trails 50-55
top	244	left	232	Nov 9	2012	MIA at ATL	3rd Qtr	8:15 remaining	Missed 2-pointer from 19 ft	MIA trails 50-55
top	305	left	309	Nov 9	2012	MIA at ATL	3rd Qtr	5:00 remaining	Missed 3-pointer from 26 ft	MIA tied 60-60
top	50	left	266	Nov 9	2012	MIA at ATL	3rd Qtr	4:07 remaining	Made 2-pointer from 3 ft	MIA now leads 64-62
top	239	left	253	Nov 9	2012	MIA at ATL	3rd Qtr	0:2.9 remaining	Missed 2-pointer from 19 ft	MIA leads 72-71
top	223	left	150	Nov 9	2012	MIA at ATL	4th Qtr	0:13.6 remaining	Made 2-pointer from 20 ft	MIA now leads 93-89
top	54	left	389	Nov 11	2012	MIA at MEM	1st Qtr	10:09 remaining	Missed 2-pointer from 15 ft	MIA trails 2-5
top	45	left	240	Nov 11	2012	MIA at MEM	1st Qtr	7:15 remaining	Made 2-pointer from 1 ft	MIA now trails 8-12
top	48	left	240	Nov 11	2012	MIA at MEM	1st Qtr	6:20 remaining	Made 2-pointer from 0 ft	MIA now tied 12-12
top	61	left	221	Nov 11	2012	MIA at MEM	1st Qtr	4:04 remaining	Missed 2-pointer from 2 ft	MIA trails 14-16
top	75	left	287	Nov 11	2012	MIA at MEM	1st Qtr	3:34 remaining	Missed 2-pointer from 5 ft	MIA trails 14-18
top	51	left	238	Nov 11	2012	MIA at MEM	1st Qtr	2:26 remaining	Made 2-pointer from 0 ft	MIA now trails 16-20
